pmid,pmcid,doi,title,journal,year,month,authors,abstract,pubmed_url,doi_url,journal_tier_score_proxy,recency_score,topic_relevance_score,selection_score
41501459,PMC12851939,10.1038/s41586-025-09852-9,RNA-triggered Cas12a3 cleaves tRNA tails to execute bacterial immunity.,Nature,2026,Jan,Oleg Dmytrenko; Biao Yuan; Kadin T Crosby; Max Krebel; Xiye Chen; Jakub S Nowak; Andrzej Chramiec-Głąbik; Bamidele Filani,"In all domains of life, tRNAs mediate the transfer of genetic information from mRNAs to proteins. As their depletion suppresses translation and, consequently, viral replication, tRNAs represent long-standing and increasingly recognized targets of innate immunity1-5. Here we report Cas12a3 effector nucleases from type V CRISPR-Cas adaptive immune systems in bacteria that preferentially cleave tRNAs after recognition of target RNA. Cas12a3 orthologues belong to one of two previously unreported nuclease clades that exhibit RNA-mediated cleavage of non-target RNA, and are distinct from all other known type V systems. Through cell-based and biochemical assays and direct RNA sequencing, we demonstrate that recognition of a complementary target RNA by the CRISPR RNA triggers Cas12a3 to cleave the conserved 5'-CCA-3' tail of diverse tRNAs to drive growth arrest and anti-phage defence. Cryogenic electron microscopy structures further revealed a distinct tRNA-loading domain that positions the tRNA tail in the RuvC active site of the nuclease. By designing synthetic reporters that mimic the tRNA acceptor stem and tail, we expanded the capacity of current CRISPR-based diagnostics for multiplexed RNA detection. Overall, these findings reveal widespread tRNA inactivation as a previously unrecognized CRISPR-based immune strategy that broadens the application space of the existing CRISPR toolbox.",https://pubmed.ncbi.nlm.nih.gov/41501459/,https://doi.org/10.1038/s41586-025-09852-9,65,2026,6,2706
39111359,PMC11464382,10.1038/s41586-024-07874-3,A virally encoded tRNA neutralizes the PARIS antiviral defence system.,Nature,2024,Oct,Nathaniel Burman; Svetlana Belukhina; Florence Depardieu; Royce A Wilkinson; Mikhail Skutel; Andrew Santiago-Frangos; Ava B Graham; Alexei Livenskyi,"Viruses compete with each other for limited cellular resources, and some deliver defence mechanisms that protect the host from competing genetic parasites1. The phage antirestriction induced system (PARIS) is a defence system, often encoded in viral genomes, that is composed of a 55 kDa ABC ATPase (AriA) and a 35 kDa TOPRIM nuclease (AriB)2. However, the mechanism by which AriA and AriB function in phage defence is unknown. Here we show that AriA and AriB assemble into a 425 kDa supramolecular immune complex. We use cryo-electron microscopy to determine the structure of this complex, thereby explaining how six molecules of AriA assemble into a propeller-shaped scaffold that coordinates three subunits of AriB. ATP-dependent detection of foreign proteins triggers the release of AriB, which assembles into a homodimeric nuclease that blocks infection by cleaving host lysine transfer RNA. Phage T5 subverts PARIS immunity through expression of a lysine transfer RNA variant that is not cleaved by PARIS, thereby restoring viral infection. Collectively, these data explain how AriA functions as an ATP-dependent sensor that detects viral proteins and activates the AriB toxin. PARIS is one of an emerging set of immune systems that form macromolecular complexes for the recognition of foreign proteins, rather than foreign nucleic acids3.",https://pubmed.ncbi.nlm.nih.gov/39111359/,https://doi.org/10.1038/s41586-024-07874-3,65,2024,5,2699
40311619,PMC12255531,10.1016/j.cell.2025.04.013,tRNA modifications tune m6A-dependent mRNA decay.,Cell,2025,Jul,Bastian Linder; Puneet Sharma; Jie Wu; Tosca Birbaumer; Cristian Eggers; Shino Murakami; Roman E Ott; Kai Fenzl,"Chemically modified nucleotides in mRNA are critical regulators of gene expression, primarily through interactions with reader proteins that bind to these modifications. Here, we present a mechanism by which the epitranscriptomic mark N6-methyladenosine (m6A) is read by tRNAs during translation. Codons that are modified with m6A are decoded inefficiently by the ribosome, rendering them ""non-optimal"" and inducing ribosome collisions on cellular transcripts. This couples mRNA translation to decay. 5-Methoxycarbonylmethyl-2-thiouridine (mcm5s2U) in the tRNA anticodon loop counteracts this effect. This unanticipated link between the mRNA and tRNA epitranscriptomes enables the coordinated decay of mRNA regulons, including those encoding oncogenic signaling pathways. In cancer, dysregulation of the m6A and mcm5s2U biogenesis pathways-marked by a shift toward more mcm5s2U-is associated with more aggressive tumors and poor prognosis. Overall, this pan-epitranscriptomic interaction represents a novel mechanism of post-transcriptional gene regulation with implications for human health.",https://pubmed.ncbi.nlm.nih.gov/40311619/,https://doi.org/10.1016/j.cell.2025.04.013,62,2025,5,2670
41555020,,10.1038/s41587-025-02982-5,An engineered UGA suppressor tRNA gene for disease-agnostic AAV delivery.,Nature biotechnology,2026,Jan,Mengyao Xu; Hao Liu; Jiaming Wang; Andre F C Vieira; Xuntao Zhou; Nan Liu; Jialing Liang; Ailing Du,"Suppressor transfer RNAs (sup-tRNAs) have the potential to rescue nonsense mutations in a disease-agnostic manner and are an alternative therapeutic approach for many rare and ultrarare disorders. Among all human pathogenic nonsense variants, approximately 20% arise from C-to-T transitions that convert the CGA arginine codon into a UGA stop codon. While recombinant adeno-associated virus (rAAV) has been successfully used to deliver a UAG-targeting sup-tRNA gene in vivo, extending this approach to UGA-targeting sup-tRNA genes has posed unique challenges related to rAAV vector production. Here, we demonstrate that an engineered UGA-sup-tRNA gene, designed with transcriptional regulatory elements, can be efficiently packaged into rAAV for in vivo delivery. A single administration in mouse models of two distinct lysosomal storage disorders restores enzymatic activity to approximately 10% of normal levels. Comparative analysis reveals differential sup-tRNA expression and aminoacylation patterns across tissue types, which correlate with enhanced therapeutic effects. The applied rAAV-based agents and engineering strategies expand the potential therapeutic scope of sup-tRNA therapies.",https://pubmed.ncbi.nlm.nih.gov/41555020/,https://doi.org/10.1038/s41587-025-02982-5,46,2026,8,2526
41629463,,10.1038/s41587-026-02999-4,AAV-delivered UGA suppressor tRNA for disease-agnostic in vivo gene therapy.,Nature biotechnology,2026,Feb,,,https://pubmed.ncbi.nlm.nih.gov/41629463/,https://doi.org/10.1038/s41587-026-02999-4,46,2026,4,2506
40908366,PMC12618233,10.1038/s41594-025-01653-y,tRNA as an assembly chaperone for a macromolecular transcription-processing complex.,Nature structural & molecular biology,2025,Nov,Julia Bartuli; Stefan Jungwirth; Manisha Dixit; Takumi Okuda; Johannes Patrick Zimmermann; Matthias Erlacher; Tao Pan; Asisa Volz,"Transfer RNAs (tRNAs) are widely recognized for their role in translation. Here, we describe a previously unidentified function of tRNA as an assembly chaperone. During poxviral infection, tRNAGln/Arg lacking the anticodon mcm5s2U34 modification is specifically sequestered from the cellular tRNA pool to promote formation of a multisubunit poxviral RNA polymerase complex (vRNAP). Cryo-electron microscopy analysis of assembly intermediates illustrates how tRNAGln/Arg orchestrates the recruitment of transcription and mRNA processing factors to vRNAP where it controls the transition to the preinitiation complex. This is achieved by an induced fit mechanism that internalizes anticodon base G36 into the anticodon stem, creating a noncanonical tRNA structure and selecting a defined tRNA modification pattern. The role of tRNA as an assembly chaperone extends to the pathogenic Mpox virus, which features a similar vRNAP.",https://pubmed.ncbi.nlm.nih.gov/40908366/,https://doi.org/10.1038/s41594-025-01653-y,18,2025,7,2240
38918637,PMC11479938,10.1038/s41594-024-01341-3,Structural basis of tRNA recognition by the m3C RNA methyltransferase METTL6 in complex with SerRS seryl-tRNA synthetase.,Nature structural & molecular biology,2024,Oct,Philipp Throll; Luciano G Dolce; Palma Rico-Lastres; Katharina Arnold; Laura Tengo; Shibom Basu; Stefanie Kaiser; Robert Schneider,"Methylation of cytosine 32 in the anticodon loop of tRNAs to 3-methylcytosine (m3C) is crucial for cellular translation fidelity. Misregulation of the RNA methyltransferases setting this modification can cause aggressive cancers and metabolic disturbances. Here, we report the cryo-electron microscopy structure of the human m3C tRNA methyltransferase METTL6 in complex with seryl-tRNA synthetase (SerRS) and their common substrate tRNASer. Through the complex structure, we identify the tRNA-binding domain of METTL6. We show that SerRS acts as the tRNASer substrate selection factor for METTL6. We demonstrate that SerRS augments the methylation activity of METTL6 and that direct contacts between METTL6 and SerRS are necessary for efficient tRNASer methylation. Finally, on the basis of the structure of METTL6 in complex with SerRS and tRNASer, we postulate a universal tRNA-binding mode for m3C RNA methyltransferases, including METTL2 and METTL8, suggesting that these mammalian paralogs use similar ways to engage their respective tRNA substrates and cofactors.",https://pubmed.ncbi.nlm.nih.gov/38918637/,https://doi.org/10.1038/s41594-024-01341-3,18,2024,7,2239
39892392,PMC11925124,10.1016/j.molcel.2025.01.003,A methyltransferase-independent role for METTL1 in tRNA aminoacylation and oncogenic transformation.,Molecular cell,2025,Mar,Raja H Ali; Esteban A Orellana; Su Hyun Lee; Yun-Cheol Chae; Yantao Chen; Jim Clauwaert; Alyssa L Kennedy; Ashley E Gutierrez,"Amplification of chromosomal material derived from 12q13-15 is common in human cancer and believed to result in overexpression of multiple collaborating oncogenes. To define the oncogenes involved, we overexpressed genes recurrently amplified in human liposarcoma using a zebrafish model of the disease. We found several genes whose overexpression collaborated with AKT in sarcomagenesis, including the tRNA methyltransferase METTL1. This was surprising, because AKT phosphorylates METTL1 to inactivate its enzymatic activity. Indeed, phosphomimetic S27D or catalytically dead alleles phenocopied the oncogenic activity of wild-type METTL1. We found that METTL1 binds the multi-tRNA synthetase complex, which contains many of the cellular aminoacyl-tRNA synthetases and promotes tRNA aminoacylation, polysome formation, and protein synthesis independent of its methyltransferase activity. METTL1-amplified liposarcomas were hypersensitive to actinomycin D, a clinical inhibitor of ribosome biogenesis. We propose that METTL1 overexpression promotes sarcomagenesis by stimulating tRNA aminoacylation, protein synthesis, and tumor cell growth independent of its methyltransferase activity.",https://pubmed.ncbi.nlm.nih.gov/39892392/,https://doi.org/10.1016/j.molcel.2025.01.003,18,2025,6,2235
41807381,PMC12976133,10.1038/s41467-026-70126-7,Translational regulation by oxidative desulfuration of tRNA modifications.,Nature communications,2026,Mar,Yufeng Mo; Kensuke Ishiguro; Kenjyo Miyauchi; Yuriko Sakaguchi; Yosei Hanzawa; Naho Akiyama; Ayaka Murayama; Kodai Machida,"Modifications in the anticodon region of transfer RNA (tRNA) are essential for accurate and efficient protein synthesis. 5-Methyl-2-thiouridine derivatives (xm5s2U) are major modifications at the wobble position of tRNA anticodons decoding purine-ending two-codon sets. Although the thiocarbonyl group of xm5s2U enhances decoding efficiency, it is chemically susceptible to oxidative desulfuration, yielding 4-pyrimidinone derivatives (xm5h2U). Here, we identify xm5h2U derivatives in human cells and mouse tissues and confirm their cellular formation by spike-in experiments. Desulfurized tRNAs carrying 5-methoxycarbonylmethyl-4-pyrimidinone (mcm5h2U) show impaired codon recognition in a human reconstituted in vitro translation system. The mcm5h2U modification reduces aminoacylation of tRNAs for lysine, glutamate, and glutamine, but not arginine. Cryogenic electron microscopy reveals the structural basis of altered AAA/AAG decoding by mcm5h2U at the ribosomal A-site. These findings reveal a mechanism by which oxidative desulfuration of tRNA modifications dynamically regulates codon recognition and protein synthesis under oxidative stress conditions in human and mammalian cells.",https://pubmed.ncbi.nlm.nih.gov/41807381/,https://doi.org/10.1038/s41467-026-70126-7,17,2026,7,2231
40563009,PMC12440814,10.1038/s41594-025-01589-3,Structure of fungal tRNA ligase Trl1 with RNA reveals conserved substrate-binding principles.,Nature structural & molecular biology,2025,Sep,Sandra Köhler; Jürgen Kopp; Satyabrata Maiti; Janusz M Bujnicki; Jirka Peschek,"RNA ligases play a vital role in RNA processing and maturation, including tRNA splicing, RNA repair and the unfolded protein response (UPR). In fungi and plants, the tripartite tRNA ligase Trl1 catalyzes the joining of TSEN-cleaved pre-tRNA exon halves. Trl1 also functions as ligase in the non-conventional HAC1 mRNA splicing during the UPR. The final ligation step is performed by the N-terminal adenylyltransferase domain (ligase; LIG). The spatial arrangement of the exon ends during the ligation reaction has remained elusive. Here we report the crystal structure of Chaetomium thermophilum Trl1-LIG in complex with a tRNA-derived substrate. Our structure represents a snapshot of the activated RNA intermediate and defines the conserved substrate-binding interface. The underlying enzyme-substrate interplay reveals a substrate-binding principle shared by adenylyltransferases. Moreover, we identify the determinants of RNA end specificity as well as the specific roles of Trl1-LIG's subdomains during ligase activation, substrate binding and phosphoryl transfer.",https://pubmed.ncbi.nlm.nih.gov/40563009/,https://doi.org/10.1038/s41594-025-01589-3,18,2025,5,2230
