topic,pmid,pmcid,doi,title,pdf_status,pdf_path,html_path,detail
tRNA 的生物功能与结构特征,41501459,PMC12851939,10.1038/s41586-025-09852-9,RNA-triggered Cas12a3 cleaves tRNA tails to execute bacterial immunity.,downloaded,D:\Project\tRNA research\biological functions and structural characteristics of tRNA\downloaded_resources\pdfs\41501459_RNA-triggered_Cas12a3_cleaves_tRNA_tails_to_execute_bacterial_immunity..pdf,D:\Project\tRNA research\biological functions and structural characteristics of tRNA\downloaded_resources\pmc_html\41501459_PMC12851939.html,already_exists
tRNA 的生物功能与结构特征,39111359,PMC11464382,10.1038/s41586-024-07874-3,A virally encoded tRNA neutralizes the PARIS antiviral defence system.,downloaded,D:\Project\tRNA research\biological functions and structural characteristics of tRNA\downloaded_resources\pdfs\39111359_A_virally_encoded_tRNA_neutralizes_the_PARIS_antiviral_defence_system..pdf,D:\Project\tRNA research\biological functions and structural characteristics of tRNA\downloaded_resources\pmc_html\39111359_PMC11464382.html,already_exists
tRNA 的生物功能与结构特征,40311619,PMC12255531,10.1016/j.cell.2025.04.013,tRNA modifications tune m6A-dependent mRNA decay.,not_publicly_downloadable,,D:\Project\tRNA research\biological functions and structural characteristics of tRNA\downloaded_resources\pmc_html\40311619_PMC12255531.html,doi_landing: not PDF; landing=https://linkinghub.elsevier.com/retrieve/pii/S0092867425004155; pii=S0092867425004155 | pmc_pdf_endpoint: status=200; type=text/html; charset=utf-8; url=https://pmc.ncbi.nlm.nih.gov/articles/PMC12255531/pdf/nihms-2074120.pdf
tRNA 的生物功能与结构特征,41555020,,10.1038/s41587-025-02982-5,An engineered UGA suppressor tRNA gene for disease-agnostic AAV delivery.,downloaded,D:\Project\tRNA research\biological functions and structural characteristics of tRNA\downloaded_resources\pdfs\41555020_An_engineered_UGA_suppressor_tRNA_gene_for_disease-agnostic_AAV_delivery..pdf,,already_exists
tRNA 的生物功能与结构特征,41629463,,10.1038/s41587-026-02999-4,AAV-delivered UGA suppressor tRNA for disease-agnostic in vivo gene therapy.,not_publicly_downloadable,,,"nature_pdf: status=200; type=text/html; charset=""utf-8""; url=https://www.nature.com/articles/s41587-026-02999-4"
tRNA 的生物功能与结构特征,40908366,PMC12618233,10.1038/s41594-025-01653-y,tRNA as an assembly chaperone for a macromolecular transcription-processing complex.,downloaded,D:\Project\tRNA research\biological functions and structural characteristics of tRNA\downloaded_resources\pdfs\40908366_tRNA_as_an_assembly_chaperone_for_a_macromolecular_transcription-processing_complex..pdf,D:\Project\tRNA research\biological functions and structural characteristics of tRNA\downloaded_resources\pmc_html\40908366_PMC12618233.html,already_exists
tRNA 的生物功能与结构特征,38918637,PMC11479938,10.1038/s41594-024-01341-3,Structural basis of tRNA recognition by the m3C RNA methyltransferase METTL6 in complex with SerRS seryl-tRNA synthetase.,downloaded,D:\Project\tRNA research\biological functions and structural characteristics of tRNA\downloaded_resources\pdfs\38918637_Structural_basis_of_tRNA_recognition_by_the_m3C_RNA_methyltransferase_METTL6_in_complex_with_Se.pdf,D:\Project\tRNA research\biological functions and structural characteristics of tRNA\downloaded_resources\pmc_html\38918637_PMC11479938.html,already_exists
tRNA 的生物功能与结构特征,39892392,PMC11925124,10.1016/j.molcel.2025.01.003,A methyltransferase-independent role for METTL1 in tRNA aminoacylation and oncogenic transformation.,not_publicly_downloadable,,D:\Project\tRNA research\biological functions and structural characteristics of tRNA\downloaded_resources\pmc_html\39892392_PMC11925124.html,doi_landing: not PDF; landing=https://linkinghub.elsevier.com/retrieve/pii/S1097276525000036; pii=S1097276525000036 | pmc_pdf_endpoint: status=200; type=text/html; charset=utf-8; url=https://pmc.ncbi.nlm.nih.gov/articles/PMC11925124/pdf/
tRNA 的生物功能与结构特征,41807381,PMC12976133,10.1038/s41467-026-70126-7,Translational regulation by oxidative desulfuration of tRNA modifications.,downloaded,D:\Project\tRNA research\biological functions and structural characteristics of tRNA\downloaded_resources\pdfs\41807381_Translational_regulation_by_oxidative_desulfuration_of_tRNA_modifications..pdf,D:\Project\tRNA research\biological functions and structural characteristics of tRNA\downloaded_resources\pmc_html\41807381_PMC12976133.html,already_exists
tRNA 的生物功能与结构特征,40563009,PMC12440814,10.1038/s41594-025-01589-3,Structure of fungal tRNA ligase Trl1 with RNA reveals conserved substrate-binding principles.,downloaded,D:\Project\tRNA research\biological functions and structural characteristics of tRNA\downloaded_resources\pdfs\40563009_Structure_of_fungal_tRNA_ligase_Trl1_with_RNA_reveals_conserved_substrate-binding_principles..pdf,D:\Project\tRNA research\biological functions and structural characteristics of tRNA\downloaded_resources\pmc_html\40563009_PMC12440814.html,already_exists
tRNA 的生物功能与结构特征,40447571,PMC12125218,10.1038/s41467-025-59435-5,In vivo structure profiling reveals human cytosolic and mitochondrial tRNA structurome and interactome in response to stress.,downloaded,D:\Project\tRNA research\biological functions and structural characteristics of tRNA\downloaded_resources\pdfs\40447571_In_vivo_structure_profiling_reveals_human_cytosolic_and_mitochondrial_tRNA_structurome_and_inte.pdf,D:\Project\tRNA research\biological functions and structural characteristics of tRNA\downloaded_resources\pmc_html\40447571_PMC12125218.html,already_exists
tRNA 的生物功能与结构特征,39075051,PMC11286949,10.1038/s41467-024-50730-1,Structural basis of tRNA recognition by the widespread OB fold.,downloaded,D:\Project\tRNA research\biological functions and structural characteristics of tRNA\downloaded_resources\pdfs\39075051_Structural_basis_of_tRNA_recognition_by_the_widespread_OB_fold..pdf,D:\Project\tRNA research\biological functions and structural characteristics of tRNA\downloaded_resources\pmc_html\39075051_PMC11286949.html,already_exists
tRNA 的生物功能与结构特征,42062277,,10.1038/s41467-026-72603-5,Deciphering tRNA repertoires and translation coordination during mouse early embryogenesis by ORACLE-tRNAseq.,not_publicly_downloadable,,,"nature_pdf: status=200; type=text/html; charset=""utf-8""; url=https://www.nature.com/articles/s41467-026-72603-5"
