pmid,pmcid,doi,title,journal,year,month,authors,abstract,pubmed_url,doi_url,journal_tier_score_proxy,recency_score,topic_relevance_score,selection_score
41501459,PMC12851939,10.1038/s41586-025-09852-9,RNA-triggered Cas12a3 cleaves tRNA tails to execute bacterial immunity.,Nature,2026,Jan,Oleg Dmytrenko; Biao Yuan; Kadin T Crosby; Max Krebel; Xiye Chen; Jakub S Nowak; Andrzej Chramiec-Głąbik; Bamidele Filani,"In all domains of life, tRNAs mediate the transfer of genetic information from mRNAs to proteins. As their depletion suppresses translation and, consequently, viral replication, tRNAs represent long-standing and increasingly recognized targets of innate immunity1-5. Here we report Cas12a3 effector nucleases from type V CRISPR-Cas adaptive immune systems in bacteria that preferentially cleave tRNAs after recognition of target RNA. Cas12a3 orthologues belong to one of two previously unreported nuclease clades that exhibit RNA-mediated cleavage of non-target RNA, and are distinct from all other known type V systems. Through cell-based and biochemical assays and direct RNA sequencing, we demonstrate that recognition of a complementary target RNA by the CRISPR RNA triggers Cas12a3 to cleave the conserved 5'-CCA-3' tail of diverse tRNAs to drive growth arrest and anti-phage defence. Cryogenic electron microscopy structures further revealed a distinct tRNA-loading domain that positions the tRNA tail in the RuvC active site of the nuclease. By designing synthetic reporters that mimic the tRNA acceptor stem and tail, we expanded the capacity of current CRISPR-based diagnostics for multiplexed RNA detection. Overall, these findings reveal widespread tRNA inactivation as a previously unrecognized CRISPR-based immune strategy that broadens the application space of the existing CRISPR toolbox.",https://pubmed.ncbi.nlm.nih.gov/41501459/,https://doi.org/10.1038/s41586-025-09852-9,65,2026,6,2706
35322228,PMC9446716,10.1038/s41586-022-04533-3,AAV-delivered suppressor tRNA overcomes a nonsense mutation in mice.,Nature,2022,Apr,Jiaming Wang; Yue Zhang; Craig A Mendonca; Onur Yukselen; Khaja Muneeruddin; Lingzhi Ren; Jialing Liang; Chen Zhou,"Gene therapy is a potentially curative medicine for many currently untreatable diseases, and recombinant adeno-associated virus (rAAV) is the most successful gene delivery vehicle for in vivo applications1-3. However, rAAV-based gene therapy suffers from several limitations, such as constrained DNA cargo size and toxicities caused by non-physiological expression of a transgene4-6. Here we show that rAAV delivery of a suppressor tRNA (rAAV.sup-tRNA) safely and efficiently rescued a genetic disease in a mouse model carrying a nonsense mutation, and effects lasted for more than 6 months after a single treatment. Mechanistically, this was achieved through a synergistic effect of premature stop codon readthrough and inhibition of nonsense-mediated mRNA decay. rAAV.sup-tRNA had a limited effect on global readthrough at normal stop codons and did not perturb endogenous tRNA homeostasis, as determined by ribosome profiling and tRNA sequencing, respectively. By optimizing the AAV capsid and the route of administration, therapeutic efficacy in various target tissues was achieved, including liver, heart, skeletal muscle and brain. This study demonstrates the feasibility of developing a toolbox of AAV-delivered nonsense suppressor tRNAs operating on premature termination codons (AAV-NoSTOP) to rescue pathogenic nonsense mutations and restore gene function under endogenous regulation. As nonsense mutations account for 11% of pathogenic mutations, AAV-NoSTOP can benefit a large number of patients. AAV-NoSTOP obviates the need to deliver a full-length protein-coding gene that may exceed the rAAV packaging limit, elicit adverse immune responses or cause transgene-related toxicities. It therefore represents a valuable addition to gene therapeutics.",https://pubmed.ncbi.nlm.nih.gov/35322228/,https://doi.org/10.1038/s41586-022-04533-3,65,2022,6,2702
37944512,,10.1016/j.cell.2023.10.015,"Design, construction, and functional characterization of a tRNA neochromosome in yeast.",Cell,2023,Nov,Daniel Schindler; Roy S K Walker; Shuangying Jiang; Aaron N Brooks; Yun Wang; Carolin A Müller; Charlotte Cockram; Yisha Luo,"Here, we report the design, construction, and characterization of a tRNA neochromosome, a designer chromosome that functions as an additional, de novo counterpart to the native complement of Saccharomyces cerevisiae. Intending to address one of the central design principles of the Sc2.0 project, the ∼190-kb tRNA neochromosome houses all 275 relocated nuclear tRNA genes. To maximize stability, the design incorporates orthogonal genetic elements from non-S. cerevisiae yeast species. Furthermore, the presence of 283 rox recombination sites enables an orthogonal tRNA SCRaMbLE system. Following construction in yeast, we obtained evidence of a potent selective force, manifesting as a spontaneous doubling in cell ploidy. Furthermore, tRNA sequencing, transcriptomics, proteomics, nucleosome mapping, replication profiling, FISH, and Hi-C were undertaken to investigate questions of tRNA neochromosome behavior and function. Its construction demonstrates the remarkable tractability of the yeast model and opens up opportunities to directly test hypotheses surrounding these essential non-coding RNAs.",https://pubmed.ncbi.nlm.nih.gov/37944512/,https://doi.org/10.1016/j.cell.2023.10.015,62,2023,6,2673
37024678,PMC10791586,10.1038/s41587-023-01743-6,Quantitative analysis of tRNA abundance and modifications by nanopore RNA sequencing.,Nature biotechnology,2024,Jan,Morghan C Lucas; Leszek P Pryszcz; Rebeca Medina; Ivan Milenkovic; Noelia Camacho; Virginie Marchand; Yuri Motorin; Lluís Ribas de Pouplana,"Transfer RNAs (tRNAs) play a central role in protein translation. Studying them has been difficult in part because a simple method to simultaneously quantify their abundance and chemical modifications is lacking. Here we introduce Nano-tRNAseq, a nanopore-based approach to sequence native tRNA populations that provides quantitative estimates of both tRNA abundances and modification dynamics in a single experiment. We show that default nanopore sequencing settings discard the vast majority of tRNA reads, leading to poor sequencing yields and biased representations of tRNA abundances based on their transcript length. Re-processing of raw nanopore current intensity signals leads to a 12-fold increase in the number of recovered tRNA reads and enables recapitulation of accurate tRNA abundances. We then apply Nano-tRNAseq to Saccharomyces cerevisiae tRNA populations, revealing crosstalks and interdependencies between different tRNA modification types within the same molecule and changes in tRNA populations in response to oxidative stress.",https://pubmed.ncbi.nlm.nih.gov/37024678/,https://doi.org/10.1038/s41587-023-01743-6,46,2024,5,2509
37173525,,10.1038/s41588-023-01404-z,Quantifying tRNA abundance by sequencing.,Nature genetics,2023,May,Wei Li,,https://pubmed.ncbi.nlm.nih.gov/37173525/,https://doi.org/10.1038/s41588-023-01404-z,41,2023,3,2448
33581077,PMC8062790,10.1016/j.molcel.2021.01.028,High-resolution quantitative profiling of tRNA abundance and modification status in eukaryotes by mim-tRNAseq.,Molecular cell,2021,Apr,Andrew Behrens; Geraldine Rodschinka; Danny D Nedialkova,"Measurements of cellular tRNA abundance are hampered by pervasive blocks to cDNA synthesis at modified nucleosides and the extensive similarity among tRNA genes. We overcome these limitations with modification-induced misincorporation tRNA sequencing (mim-tRNAseq), which combines a workflow for full-length cDNA library construction from endogenously modified tRNA with a comprehensive and user-friendly computational analysis toolkit. Our method accurately captures tRNA abundance and modification status in yeast, fly, and human cells and is applicable to any organism with a known genome. We applied mim-tRNAseq to discover a dramatic heterogeneity of tRNA isodecoder pools among diverse human cell lines and a surprising interdependence of modifications at distinct sites within the same tRNA transcript.",https://pubmed.ncbi.nlm.nih.gov/33581077/,https://doi.org/10.1016/j.molcel.2021.01.028,18,2021,7,2236
39096899,PMC11455606,10.1016/j.molcel.2024.07.008,A ligation-independent sequencing method reveals tRNA-derived RNAs with blocked 3' termini.,Molecular cell,2024,Oct,Alessandro Scacchetti; Emily J Shields; Natalie A Trigg; Grace S Lee; Jeremy E Wilusz; Colin C Conine; Roberto Bonasio,"Despite the numerous sequencing methods available, the diversity in RNA size and chemical modification makes it difficult to capture all RNAs in a cell. We developed a method that combines quasi-random priming with template switching to construct sequencing libraries from RNA molecules of any length and with any type of 3' modifications, allowing for the sequencing of virtually all RNA species. Our ligation-independent detection of all types of RNA (LIDAR) is a simple, effective tool to identify and quantify all classes of coding and non-coding RNAs. With LIDAR, we comprehensively characterized the transcriptomes of mouse embryonic stem cells, neural progenitor cells, mouse tissues, and sperm. LIDAR detected a much larger variety of tRNA-derived RNAs (tDRs) compared with traditional ligation-dependent sequencing methods and uncovered tDRs with blocked 3' ends that had previously escaped detection. Therefore, LIDAR can capture all RNAs in a sample and uncover RNA species with potential regulatory functions.",https://pubmed.ncbi.nlm.nih.gov/39096899/,https://doi.org/10.1016/j.molcel.2024.07.008,18,2024,5,2229
35654044,PMC9444141,10.1016/j.molcel.2022.05.008,A pro-metastatic tRNA fragment drives Nucleolin oligomerization and stabilization of its bound metabolic mRNAs.,Molecular cell,2022,Jul,Xuhang Liu; Wenbin Mei; Veena Padmanaban; Hanan Alwaseem; Henrik Molina; Maria C Passarelli; Bernardo Tavora; Sohail F Tavazoie,"Stress-induced cleavage of transfer RNAs (tRNAs) into tRNA-derived fragments (tRFs) occurs across organisms from yeast to humans; yet, its mechanistic underpinnings and pathological consequences remain poorly defined. Small RNA profiling revealed increased abundance of a cysteine tRNA fragment (5'-tRFCys) during breast cancer metastatic progression. 5'-tRFCys was required for efficient breast cancer metastatic lung colonization and cancer cell survival. We identified Nucleolin as the direct binding partner of 5'-tRFCys. 5'-tRFCys promoted the oligomerization of Nucleolin and its bound metabolic transcripts Mthfd1l and Pafah1b1 into a higher-order transcript stabilizing ribonucleoprotein complex, which protected these transcripts from exonucleolytic degradation. Consistent with this, Mthfd1l and Pafah1b1 mediated pro-metastatic and metabolic effects downstream of 5'-tRFCys-impacting folate, one-carbon, and phosphatidylcholine metabolism. Our findings reveal that a tRF can promote oligomerization of an RNA-binding protein into a transcript stabilizing ribonucleoprotein complex, thereby driving specific metabolic pathways underlying cancer progression.",https://pubmed.ncbi.nlm.nih.gov/35654044/,https://doi.org/10.1016/j.molcel.2022.05.008,18,2022,5,2227
42062277,,10.1038/s41467-026-72603-5,Deciphering tRNA repertoires and translation coordination during mouse early embryogenesis by ORACLE-tRNAseq.,Nature communications,2026,Apr,Yun Li; Xin Wang; Ruofan Huang; Haoquan Yu; You Wu; Ze Shu; Wenlin Jiang; Zheng Cao,"Translational control is vital during the maternal-to-zygotic transition (MZT), yet the landscape of embryonic transfer RNA (tRNA) pools has been difficult to explore. Here, we develop Optimized Reaction for Accurate Capture of Low-input Entities tRNA Sequencing (ORACLE-tRNAseq), enabling robust tRNA profiling from as few as five mouse oocytes. We map tRNA landscapes from oocyte to blastocyst, identifying a distinct transition to embryonic tRNA repertoires and upregulation of tRNA pseudogenes at the 4-cell stage. Integrated multi-omics analyses reveal that zygotic tRNA gene activation coincides with zygotic genome activation (ZGA) and correlates with H3K4me3 establishment and chromatin remodeling. By coupling ORACLE-tRNAseq with Ribo-seq, we demonstrate that embryonic tRNA anticodon pools coordinate with high translation-efficiency gene pools to preferentially establish the zygotic translation machinery, particularly from major ZGA onwards. Collectively, these findings provide a resource for understanding translational regulatory networks during early embryogenesis.",https://pubmed.ncbi.nlm.nih.gov/42062277/,https://doi.org/10.1038/s41467-026-72603-5,17,2026,6,2226
40447571,PMC12125218,10.1038/s41467-025-59435-5,In vivo structure profiling reveals human cytosolic and mitochondrial tRNA structurome and interactome in response to stress.,Nature communications,2025,May,Noah Peña; Yichen Hou; Christopher P Watkins; Sihao Huang; Wen Zhang; Christopher D Katanski; Tao Pan,"Transfer RNA (tRNA) is the most abundant cellular RNA family in terms of copy numbers. It not only folds into defined structures but also has complex cellular interaction networks involving aminoacyl-tRNA synthetases, translation factors, and ribosomes. The human tRNAome is comprised of chromosomal-encoded tRNAs with a large sequence diversity and mitochondrial-encoded tRNAs with A/U-rich sequences and noncanonical tertiary interactions. How tRNA folding and interactions in a eukaryotic cell respond to stress is poorly understood. Here, we develop DM-DMS-MaPseq, which utilizes in vivo dimethyl-sulfate (DMS) chemical probing and mutational profiling (MaP) coupled with demethylase (DM) treatment in transcriptome-wide tRNA sequencing to profile structures and the cellular interactions of human chromosomal and mitochondrial-encoded tRNAs. We found that tRNAs maintain stable structures in vivo, but the in vivo DMS profiles are vastly different from those in vitro, which can be explained by their interactions with cellular proteins and the ribosome. We also identify cytosolic and mitochondrial tRNA structure and interaction changes upon arsenite treatment, a type of oxidative stress that induces translational reprogramming, which is consistent with global translation repression in both compartments. Our results reveal variations of tRNA structurome and dynamic interactome that have functional consequences in translational regulation.",https://pubmed.ncbi.nlm.nih.gov/40447571/,https://doi.org/10.1038/s41467-025-59435-5,17,2025,6,2225
