pmid,pmcid,doi,title,journal,year,month,authors,abstract,pubmed_url,doi_url,journal_tier_score_proxy,recency_score,topic_relevance_score,selection_score
40311619,PMC12255531,10.1016/j.cell.2025.04.013,tRNA modifications tune m6A-dependent mRNA decay.,Cell,2025,Jul,Bastian Linder; Puneet Sharma; Jie Wu; Tosca Birbaumer; Cristian Eggers; Shino Murakami; Roman E Ott; Kai Fenzl,"Chemically modified nucleotides in mRNA are critical regulators of gene expression, primarily through interactions with reader proteins that bind to these modifications. Here, we present a mechanism by which the epitranscriptomic mark N6-methyladenosine (m6A) is read by tRNAs during translation. Codons that are modified with m6A are decoded inefficiently by the ribosome, rendering them ""non-optimal"" and inducing ribosome collisions on cellular transcripts. This couples mRNA translation to decay. 5-Methoxycarbonylmethyl-2-thiouridine (mcm5s2U) in the tRNA anticodon loop counteracts this effect. This unanticipated link between the mRNA and tRNA epitranscriptomes enables the coordinated decay of mRNA regulons, including those encoding oncogenic signaling pathways. In cancer, dysregulation of the m6A and mcm5s2U biogenesis pathways-marked by a shift toward more mcm5s2U-is associated with more aggressive tumors and poor prognosis. Overall, this pan-epitranscriptomic interaction represents a novel mechanism of post-transcriptional gene regulation with implications for human health.",https://pubmed.ncbi.nlm.nih.gov/40311619/,https://doi.org/10.1016/j.cell.2025.04.013,62,2025,6,2675
38653238,,10.1016/j.cell.2024.04.002,"Alanyl-tRNA synthetase, AARS1, is a lactate sensor and lactyltransferase that lactylates p53 and contributes to tumorigenesis.",Cell,2024,May,Zhi Zong; Feng Xie; Shuai Wang; Xiaojin Wu; Zhenyu Zhang; Bing Yang; Fangfang Zhou,"Lysine lactylation is a post-translational modification that links cellular metabolism to protein function. Here, we find that AARS1 functions as a lactate sensor that mediates global lysine lacylation in tumor cells. AARS1 binds to lactate and catalyzes the formation of lactate-AMP, followed by transfer of lactate to the lysince acceptor residue. Proteomics studies reveal a large number of AARS1 targets, including p53 where lysine 120 and lysine 139 in the DNA binding domain are lactylated. Generation and utilization of p53 variants carrying constitutively lactylated lysine residues revealed that AARS1 lactylation of p53 hinders its liquid-liquid phase separation, DNA binding, and transcriptional activation. AARS1 expression and p53 lacylation correlate with poor prognosis among cancer patients carrying wild type p53. β-alanine disrupts lactate binding to AARS1, reduces p53 lacylation, and mitigates tumorigenesis in animal models. We propose that AARS1 contributes to tumorigenesis by coupling tumor cell metabolism to proteome alteration.",https://pubmed.ncbi.nlm.nih.gov/38653238/,https://doi.org/10.1016/j.cell.2024.04.002,62,2024,5,2669
41398161,PMC12706008,10.1038/s41467-025-67387-z,A cholesterol-responsive hepatic tRNA-derived small RNA regulates cholesterol homeostasis and atherosclerosis development.,Nature communications,2025,Dec,Xiuchun Li; Rebecca Hernandez; Xudong Zhang; Sijie Tang; Xiaohong Yuan; Jing Wu; Kathy Pham; Hukam C Rawal,"Transfer RNA-derived small RNAs (tsRNAs) have emerged as crucial players in diverse biological processes. Yet, their involvement in lipid metabolism and cardiovascular disease remains elusive. Using an advanced PANDORA-seq method, we identify tsRNA-Glu-CTC as the most abundant tsRNA in mouse liver. Intriguingly, tsRNA-Glu-CTC is cholesterol responsive. Overexpression of tsRNA-Glu-CTC elicits hypercholesterolemia and hepatic steatosis, whereas its knockdown protects against diet-induced hypercholesterolemia and atherosclerosis in mice. Mechanistically, tsRNA-Glu-CTC regulates key hepatic lipogenic genes including Srebp2, a master regulator of lipid metabolism. tsRNA-Glu-CTC interacts with SREBP2 to regulate its own transcription through an E-box motif. We further identify site-specific RNA modifications of endogenous tsRNA-Glu-CTC by a mass spectrometry-based MLC-seq and demonstrate the modified tsRNA-Glu-CTC as a more potent regulator of cholesterol homeostasis compared to its unmodified synthetic counterpart. Collectively, our study reveals an important role of a liver-enriched tsRNA in lipid metabolism and cardiovascular health, opening new therapeutic avenues for cardiometabolic disease.",https://pubmed.ncbi.nlm.nih.gov/41398161/,https://doi.org/10.1038/s41467-025-67387-z,17,2025,8,2235
38181765,,10.1016/j.molcel.2023.11.041,Transfer RNA modifications and cellular thermotolerance.,Molecular cell,2024,Jan,Takayuki Ohira; Tsutomu Suzuki,"RNA molecules are modified post-transcriptionally to acquire their diverse functions. Transfer RNA (tRNA) has the widest variety and largest numbers of RNA modifications. tRNA modifications are pivotal for decoding the genetic code and stabilizing the tertiary structure of tRNA molecules. Alternation of tRNA modifications directly modulates the structure and function of tRNAs and regulates gene expression. Notably, thermophilic organisms exhibit characteristic tRNA modifications that are dynamically regulated in response to varying growth temperatures, thereby bolstering fitness in extreme environments. Here, we review the history and latest findings regarding the functions and biogenesis of several tRNA modifications that contribute to the cellular thermotolerance of thermophiles.",https://pubmed.ncbi.nlm.nih.gov/38181765/,https://doi.org/10.1016/j.molcel.2023.11.041,18,2024,6,2234
41344331,PMC12709618,10.1016/j.molcel.2025.11.010,NAT10 promotes cancer metastasis by modulating p300/CBP activity through chromatin-associated tRNA.,Molecular cell,2025,Dec,Ruhul Amin; Ngoc-Han Ha; Tinghu Qiu; Ronald Holewinski; Khiem C Lam; Amélie Daugherty-Lopès; Huaitian Liu; Andy D Tran,"Protein and RNA acetylation are crucial for development and cancer progression. NAT10 is the only known acetyltransferase responsible for N4-acetylcytidine (ac4C) modification of RNA. However, the mechanism by which NAT10 contributes to cancer progression remains unclear. Here, we show that NAT10 interacts with a mechanosensitive, metastasis-susceptibility protein complex at the nuclear pore. Loss of NAT10's acetylation activity significantly reduces lung metastasis in both allograft and genetically engineered mouse models of breast cancer. Unexpectedly, upon NAT10 knockout, loss of ac4C modification in chromatin-associated tRNAs disrupts p300/CBP function, resulting in genome-wide chromatin reorganization and altered expression of genes that recruit metastasis-promoting myeloid cells to the tumor microenvironment. These findings highlight a role for NAT10 in regulating enhancer activity in metastatic tumor cells and reveal its impact on tumor-immune interactions that contribute to metastatic progression.",https://pubmed.ncbi.nlm.nih.gov/41344331/,https://doi.org/10.1016/j.molcel.2025.11.010,18,2025,5,2230
40908366,PMC12618233,10.1038/s41594-025-01653-y,tRNA as an assembly chaperone for a macromolecular transcription-processing complex.,Nature structural & molecular biology,2025,Nov,Julia Bartuli; Stefan Jungwirth; Manisha Dixit; Takumi Okuda; Johannes Patrick Zimmermann; Matthias Erlacher; Tao Pan; Asisa Volz,"Transfer RNAs (tRNAs) are widely recognized for their role in translation. Here, we describe a previously unidentified function of tRNA as an assembly chaperone. During poxviral infection, tRNAGln/Arg lacking the anticodon mcm5s2U34 modification is specifically sequestered from the cellular tRNA pool to promote formation of a multisubunit poxviral RNA polymerase complex (vRNAP). Cryo-electron microscopy analysis of assembly intermediates illustrates how tRNAGln/Arg orchestrates the recruitment of transcription and mRNA processing factors to vRNAP where it controls the transition to the preinitiation complex. This is achieved by an induced fit mechanism that internalizes anticodon base G36 into the anticodon stem, creating a noncanonical tRNA structure and selecting a defined tRNA modification pattern. The role of tRNA as an assembly chaperone extends to the pathogenic Mpox virus, which features a similar vRNAP.",https://pubmed.ncbi.nlm.nih.gov/40908366/,https://doi.org/10.1038/s41594-025-01653-y,18,2025,5,2230
39096899,PMC11455606,10.1016/j.molcel.2024.07.008,A ligation-independent sequencing method reveals tRNA-derived RNAs with blocked 3' termini.,Molecular cell,2024,Oct,Alessandro Scacchetti; Emily J Shields; Natalie A Trigg; Grace S Lee; Jeremy E Wilusz; Colin C Conine; Roberto Bonasio,"Despite the numerous sequencing methods available, the diversity in RNA size and chemical modification makes it difficult to capture all RNAs in a cell. We developed a method that combines quasi-random priming with template switching to construct sequencing libraries from RNA molecules of any length and with any type of 3' modifications, allowing for the sequencing of virtually all RNA species. Our ligation-independent detection of all types of RNA (LIDAR) is a simple, effective tool to identify and quantify all classes of coding and non-coding RNAs. With LIDAR, we comprehensively characterized the transcriptomes of mouse embryonic stem cells, neural progenitor cells, mouse tissues, and sperm. LIDAR detected a much larger variety of tRNA-derived RNAs (tDRs) compared with traditional ligation-dependent sequencing methods and uncovered tDRs with blocked 3' ends that had previously escaped detection. Therefore, LIDAR can capture all RNAs in a sample and uncover RNA species with potential regulatory functions.",https://pubmed.ncbi.nlm.nih.gov/39096899/,https://doi.org/10.1016/j.molcel.2024.07.008,18,2024,5,2229
38918637,PMC11479938,10.1038/s41594-024-01341-3,Structural basis of tRNA recognition by the m3C RNA methyltransferase METTL6 in complex with SerRS seryl-tRNA synthetase.,Nature structural & molecular biology,2024,Oct,Philipp Throll; Luciano G Dolce; Palma Rico-Lastres; Katharina Arnold; Laura Tengo; Shibom Basu; Stefanie Kaiser; Robert Schneider,"Methylation of cytosine 32 in the anticodon loop of tRNAs to 3-methylcytosine (m3C) is crucial for cellular translation fidelity. Misregulation of the RNA methyltransferases setting this modification can cause aggressive cancers and metabolic disturbances. Here, we report the cryo-electron microscopy structure of the human m3C tRNA methyltransferase METTL6 in complex with seryl-tRNA synthetase (SerRS) and their common substrate tRNASer. Through the complex structure, we identify the tRNA-binding domain of METTL6. We show that SerRS acts as the tRNASer substrate selection factor for METTL6. We demonstrate that SerRS augments the methylation activity of METTL6 and that direct contacts between METTL6 and SerRS are necessary for efficient tRNASer methylation. Finally, on the basis of the structure of METTL6 in complex with SerRS and tRNASer, we postulate a universal tRNA-binding mode for m3C RNA methyltransferases, including METTL2 and METTL8, suggesting that these mammalian paralogs use similar ways to engage their respective tRNA substrates and cofactors.",https://pubmed.ncbi.nlm.nih.gov/38918637/,https://doi.org/10.1038/s41594-024-01341-3,18,2024,5,2229
38538914,PMC11537720,10.1038/s41594-024-01236-3,Structures of the ribosome bound to EF-Tu-isoleucine tRNA elucidate the mechanism of AUG avoidance.,Nature structural & molecular biology,2024,May,Mariia Yu Rybak; Matthieu G Gagnon,"The frequency of errors upon decoding of messenger RNA by the bacterial ribosome is low, with one misreading event per 1 × 104 codons. In the universal genetic code, the AUN codon box specifies two amino acids, isoleucine and methionine. In bacteria and archaea, decoding specificity of the AUA and AUG codons relies on the wobble avoidance strategy that requires modification of C34 in the anticodon loop of isoleucine transfer RNAIleCAU (tRNAIleCAU). Bacterial tRNAIleCAU with 2-lysylcytidine (lysidine) at the wobble position deciphers AUA while avoiding AUG. Here we report cryo-electron microscopy structures of the Escherichia coli 70S ribosome complexed with elongation factor thermo unstable (EF-Tu) and isoleucine-tRNAIleLAU in the process of decoding AUA and AUG. Lysidine in tRNAIleLAU excludes AUG by promoting the formation of an unusual Hoogsteen purine-pyrimidine nucleobase geometry at the third position of the codon, weakening the interactions with the mRNA and destabilizing the EF-Tu ternary complex. Our findings elucidate the molecular mechanism by which tRNAIleLAU specifically decodes AUA over AUG.",https://pubmed.ncbi.nlm.nih.gov/38538914/,https://doi.org/10.1038/s41594-024-01236-3,18,2024,5,2229
37802077,PMC10841463,10.1016/j.molcel.2023.09.016,tRNA renovatio: Rebirth through fragmentation.,Molecular cell,2023,Nov,Bernhard Kuhle; Qi Chen; Paul Schimmel,"tRNA function is based on unique structures that enable mRNA decoding using anticodon trinucleotides. These structures interact with specific aminoacyl-tRNA synthetases and ribosomes using 3D shape and sequence signatures. Beyond translation, tRNAs serve as versatile signaling molecules interacting with other RNAs and proteins. Through evolutionary processes, tRNA fragmentation emerges as not merely random degradation but an act of recreation, generating specific shorter molecules called tRNA-derived small RNAs (tsRNAs). These tsRNAs exploit their linear sequences and newly arranged 3D structures for unexpected biological functions, epitomizing the tRNA ""renovatio"" (from Latin, meaning renewal, renovation, and rebirth). Emerging methods to uncover full tRNA/tsRNA sequences and modifications, combined with techniques to study RNA structures and to integrate AI-powered predictions, will enable comprehensive investigations of tRNA fragmentation products and new interaction potentials in relation to their biological functions. We anticipate that these directions will herald a new era for understanding biological complexity and advancing pharmaceutical engineering.",https://pubmed.ncbi.nlm.nih.gov/37802077/,https://doi.org/10.1016/j.molcel.2023.09.016,18,2023,5,2228
