pmid,pmcid,doi,title,journal,year,month,authors,abstract,pubmed_url,doi_url,journal_tier_score_proxy,recency_score,topic_relevance_score,selection_score
41501459,PMC12851939,10.1038/s41586-025-09852-9,RNA-triggered Cas12a3 cleaves tRNA tails to execute bacterial immunity.,Nature,2026,Jan,Oleg Dmytrenko; Biao Yuan; Kadin T Crosby; Max Krebel; Xiye Chen; Jakub S Nowak; Andrzej Chramiec-Głąbik; Bamidele Filani,"In all domains of life, tRNAs mediate the transfer of genetic information from mRNAs to proteins. As their depletion suppresses translation and, consequently, viral replication, tRNAs represent long-standing and increasingly recognized targets of innate immunity1-5. Here we report Cas12a3 effector nucleases from type V CRISPR-Cas adaptive immune systems in bacteria that preferentially cleave tRNAs after recognition of target RNA. Cas12a3 orthologues belong to one of two previously unreported nuclease clades that exhibit RNA-mediated cleavage of non-target RNA, and are distinct from all other known type V systems. Through cell-based and biochemical assays and direct RNA sequencing, we demonstrate that recognition of a complementary target RNA by the CRISPR RNA triggers Cas12a3 to cleave the conserved 5'-CCA-3' tail of diverse tRNAs to drive growth arrest and anti-phage defence. Cryogenic electron microscopy structures further revealed a distinct tRNA-loading domain that positions the tRNA tail in the RuvC active site of the nuclease. By designing synthetic reporters that mimic the tRNA acceptor stem and tail, we expanded the capacity of current CRISPR-based diagnostics for multiplexed RNA detection. Overall, these findings reveal widespread tRNA inactivation as a previously unrecognized CRISPR-based immune strategy that broadens the application space of the existing CRISPR toolbox.",https://pubmed.ncbi.nlm.nih.gov/41501459/,https://doi.org/10.1038/s41586-025-09852-9,65,2026,7,2711
35322228,PMC9446716,10.1038/s41586-022-04533-3,AAV-delivered suppressor tRNA overcomes a nonsense mutation in mice.,Nature,2022,Apr,Jiaming Wang; Yue Zhang; Craig A Mendonca; Onur Yukselen; Khaja Muneeruddin; Lingzhi Ren; Jialing Liang; Chen Zhou,"Gene therapy is a potentially curative medicine for many currently untreatable diseases, and recombinant adeno-associated virus (rAAV) is the most successful gene delivery vehicle for in vivo applications1-3. However, rAAV-based gene therapy suffers from several limitations, such as constrained DNA cargo size and toxicities caused by non-physiological expression of a transgene4-6. Here we show that rAAV delivery of a suppressor tRNA (rAAV.sup-tRNA) safely and efficiently rescued a genetic disease in a mouse model carrying a nonsense mutation, and effects lasted for more than 6 months after a single treatment. Mechanistically, this was achieved through a synergistic effect of premature stop codon readthrough and inhibition of nonsense-mediated mRNA decay. rAAV.sup-tRNA had a limited effect on global readthrough at normal stop codons and did not perturb endogenous tRNA homeostasis, as determined by ribosome profiling and tRNA sequencing, respectively. By optimizing the AAV capsid and the route of administration, therapeutic efficacy in various target tissues was achieved, including liver, heart, skeletal muscle and brain. This study demonstrates the feasibility of developing a toolbox of AAV-delivered nonsense suppressor tRNAs operating on premature termination codons (AAV-NoSTOP) to rescue pathogenic nonsense mutations and restore gene function under endogenous regulation. As nonsense mutations account for 11% of pathogenic mutations, AAV-NoSTOP can benefit a large number of patients. AAV-NoSTOP obviates the need to deliver a full-length protein-coding gene that may exceed the rAAV packaging limit, elicit adverse immune responses or cause transgene-related toxicities. It therefore represents a valuable addition to gene therapeutics.",https://pubmed.ncbi.nlm.nih.gov/35322228/,https://doi.org/10.1038/s41586-022-04533-3,65,2022,4,2692
37944512,,10.1016/j.cell.2023.10.015,"Design, construction, and functional characterization of a tRNA neochromosome in yeast.",Cell,2023,Nov,Daniel Schindler; Roy S K Walker; Shuangying Jiang; Aaron N Brooks; Yun Wang; Carolin A Müller; Charlotte Cockram; Yisha Luo,"Here, we report the design, construction, and characterization of a tRNA neochromosome, a designer chromosome that functions as an additional, de novo counterpart to the native complement of Saccharomyces cerevisiae. Intending to address one of the central design principles of the Sc2.0 project, the ∼190-kb tRNA neochromosome houses all 275 relocated nuclear tRNA genes. To maximize stability, the design incorporates orthogonal genetic elements from non-S. cerevisiae yeast species. Furthermore, the presence of 283 rox recombination sites enables an orthogonal tRNA SCRaMbLE system. Following construction in yeast, we obtained evidence of a potent selective force, manifesting as a spontaneous doubling in cell ploidy. Furthermore, tRNA sequencing, transcriptomics, proteomics, nucleosome mapping, replication profiling, FISH, and Hi-C were undertaken to investigate questions of tRNA neochromosome behavior and function. Its construction demonstrates the remarkable tractability of the yeast model and opens up opportunities to directly test hypotheses surrounding these essential non-coding RNAs.",https://pubmed.ncbi.nlm.nih.gov/37944512/,https://doi.org/10.1016/j.cell.2023.10.015,62,2023,4,2663
37024678,PMC10791586,10.1038/s41587-023-01743-6,Quantitative analysis of tRNA abundance and modifications by nanopore RNA sequencing.,Nature biotechnology,2024,Jan,Morghan C Lucas; Leszek P Pryszcz; Rebeca Medina; Ivan Milenkovic; Noelia Camacho; Virginie Marchand; Yuri Motorin; Lluís Ribas de Pouplana,"Transfer RNAs (tRNAs) play a central role in protein translation. Studying them has been difficult in part because a simple method to simultaneously quantify their abundance and chemical modifications is lacking. Here we introduce Nano-tRNAseq, a nanopore-based approach to sequence native tRNA populations that provides quantitative estimates of both tRNA abundances and modification dynamics in a single experiment. We show that default nanopore sequencing settings discard the vast majority of tRNA reads, leading to poor sequencing yields and biased representations of tRNA abundances based on their transcript length. Re-processing of raw nanopore current intensity signals leads to a 12-fold increase in the number of recovered tRNA reads and enables recapitulation of accurate tRNA abundances. We then apply Nano-tRNAseq to Saccharomyces cerevisiae tRNA populations, revealing crosstalks and interdependencies between different tRNA modification types within the same molecule and changes in tRNA populations in response to oxidative stress.",https://pubmed.ncbi.nlm.nih.gov/37024678/,https://doi.org/10.1038/s41587-023-01743-6,46,2024,7,2519
41555020,,10.1038/s41587-025-02982-5,An engineered UGA suppressor tRNA gene for disease-agnostic AAV delivery.,Nature biotechnology,2026,Jan,Mengyao Xu; Hao Liu; Jiaming Wang; Andre F C Vieira; Xuntao Zhou; Nan Liu; Jialing Liang; Ailing Du,"Suppressor transfer RNAs (sup-tRNAs) have the potential to rescue nonsense mutations in a disease-agnostic manner and are an alternative therapeutic approach for many rare and ultrarare disorders. Among all human pathogenic nonsense variants, approximately 20% arise from C-to-T transitions that convert the CGA arginine codon into a UGA stop codon. While recombinant adeno-associated virus (rAAV) has been successfully used to deliver a UAG-targeting sup-tRNA gene in vivo, extending this approach to UGA-targeting sup-tRNA genes has posed unique challenges related to rAAV vector production. Here, we demonstrate that an engineered UGA-sup-tRNA gene, designed with transcriptional regulatory elements, can be efficiently packaged into rAAV for in vivo delivery. A single administration in mouse models of two distinct lysosomal storage disorders restores enzymatic activity to approximately 10% of normal levels. Comparative analysis reveals differential sup-tRNA expression and aminoacylation patterns across tissue types, which correlate with enhanced therapeutic effects. The applied rAAV-based agents and engineering strategies expand the potential therapeutic scope of sup-tRNA therapies.",https://pubmed.ncbi.nlm.nih.gov/41555020/,https://doi.org/10.1038/s41587-025-02982-5,46,2026,6,2516
37173525,,10.1038/s41588-023-01404-z,Quantifying tRNA abundance by sequencing.,Nature genetics,2023,May,Wei Li,,https://pubmed.ncbi.nlm.nih.gov/37173525/,https://doi.org/10.1038/s41588-023-01404-z,41,2023,3,2448
41807381,PMC12976133,10.1038/s41467-026-70126-7,Translational regulation by oxidative desulfuration of tRNA modifications.,Nature communications,2026,Mar,Yufeng Mo; Kensuke Ishiguro; Kenjyo Miyauchi; Yuriko Sakaguchi; Yosei Hanzawa; Naho Akiyama; Ayaka Murayama; Kodai Machida,"Modifications in the anticodon region of transfer RNA (tRNA) are essential for accurate and efficient protein synthesis. 5-Methyl-2-thiouridine derivatives (xm5s2U) are major modifications at the wobble position of tRNA anticodons decoding purine-ending two-codon sets. Although the thiocarbonyl group of xm5s2U enhances decoding efficiency, it is chemically susceptible to oxidative desulfuration, yielding 4-pyrimidinone derivatives (xm5h2U). Here, we identify xm5h2U derivatives in human cells and mouse tissues and confirm their cellular formation by spike-in experiments. Desulfurized tRNAs carrying 5-methoxycarbonylmethyl-4-pyrimidinone (mcm5h2U) show impaired codon recognition in a human reconstituted in vitro translation system. The mcm5h2U modification reduces aminoacylation of tRNAs for lysine, glutamate, and glutamine, but not arginine. Cryogenic electron microscopy reveals the structural basis of altered AAA/AAG decoding by mcm5h2U at the ribosomal A-site. These findings reveal a mechanism by which oxidative desulfuration of tRNA modifications dynamically regulates codon recognition and protein synthesis under oxidative stress conditions in human and mammalian cells.",https://pubmed.ncbi.nlm.nih.gov/41807381/,https://doi.org/10.1038/s41467-026-70126-7,17,2026,8,2236
34174184,,10.1016/j.molcel.2021.06.005,RelA-SpoT Homolog toxins pyrophosphorylate the CCA end of tRNA to inhibit protein synthesis.,Molecular cell,2021,Aug,Tatsuaki Kurata; Tetiana Brodiazhenko; Sofia Raquel Alves Oliveira; Mohammad Roghanian; Yuriko Sakaguchi; Kathryn Jane Turnbull; Ondřej Bulvas; Hiraku Takada,"RelA-SpoT Homolog (RSH) enzymes control bacterial physiology through synthesis and degradation of the nucleotide alarmone (p)ppGpp. We recently discovered multiple families of small alarmone synthetase (SAS) RSH acting as toxins of toxin-antitoxin (TA) modules, with the FaRel subfamily of toxSAS abrogating bacterial growth by producing an analog of (p)ppGpp, (pp)pApp. Here we probe the mechanism of growth arrest used by four experimentally unexplored subfamilies of toxSAS: FaRel2, PhRel, PhRel2, and CapRel. Surprisingly, all these toxins specifically inhibit protein synthesis. To do so, they transfer a pyrophosphate moiety from ATP to the tRNA 3' CCA. The modification inhibits both tRNA aminoacylation and the sensing of cellular amino acid starvation by the ribosome-associated RSH RelA. Conversely, we show that some small alarmone hydrolase (SAH) RSH enzymes can reverse the pyrophosphorylation of tRNA to counter the growth inhibition by toxSAS. Collectively, we establish RSHs as RNA-modifying enzymes.",https://pubmed.ncbi.nlm.nih.gov/34174184/,https://doi.org/10.1016/j.molcel.2021.06.005,18,2021,7,2236
39096899,PMC11455606,10.1016/j.molcel.2024.07.008,A ligation-independent sequencing method reveals tRNA-derived RNAs with blocked 3' termini.,Molecular cell,2024,Oct,Alessandro Scacchetti; Emily J Shields; Natalie A Trigg; Grace S Lee; Jeremy E Wilusz; Colin C Conine; Roberto Bonasio,"Despite the numerous sequencing methods available, the diversity in RNA size and chemical modification makes it difficult to capture all RNAs in a cell. We developed a method that combines quasi-random priming with template switching to construct sequencing libraries from RNA molecules of any length and with any type of 3' modifications, allowing for the sequencing of virtually all RNA species. Our ligation-independent detection of all types of RNA (LIDAR) is a simple, effective tool to identify and quantify all classes of coding and non-coding RNAs. With LIDAR, we comprehensively characterized the transcriptomes of mouse embryonic stem cells, neural progenitor cells, mouse tissues, and sperm. LIDAR detected a much larger variety of tRNA-derived RNAs (tDRs) compared with traditional ligation-dependent sequencing methods and uncovered tDRs with blocked 3' ends that had previously escaped detection. Therefore, LIDAR can capture all RNAs in a sample and uncover RNA species with potential regulatory functions.",https://pubmed.ncbi.nlm.nih.gov/39096899/,https://doi.org/10.1016/j.molcel.2024.07.008,18,2024,6,2234
38977676,PMC11231335,10.1038/s41467-024-50110-9,tRNA m1A modification regulate HSC maintenance and self-renewal via mTORC1 signaling.,Nature communications,2024,Jul,Hongna Zuo; Aiwei Wu; Mingwei Wang; Liquan Hong; Hu Wang,"Haematopoietic stem cells (HSCs) possess unique physiological adaptations to sustain blood cell production and cope with stress responses throughout life. To maintain these adaptations, HSCs rely on maintaining a tightly controlled protein translation rate. However, the mechanism of how HSCs regulate protein translation remains to be fully elucidated. In this study, we investigate the role of transfer RNA (tRNA) m1A58 'writer' proteins TRMT6 and TRMT61A in regulating HSCs function. Trmt6 deletion promoted HSC proliferation through aberrant activation of mTORC1 signaling. TRMT6-deficient HSCs exhibited an impaired self-renewal ability in competitive transplantation assay. Mechanistically, single cell RNA-seq analysis reveals that the mTORC1 signaling pathway is highly upregulated in HSC-enriched cell populations after Trmt6 deletion. m1A-tRNA-seq and Western blot analysis suggest that TRMT6 promotes methylation modification of specific tRNA and expression of TSC1, fine-tuning mTORC1 signaling levels. Furthermore, Pharmacological inhibition of the mTORC1 pathway rescued functional defect in TRMT6-deficient HSCs. To our knowledge, this study is the first to elucidate a mechanism by which TRMT6-TRMT61A complex-mediated tRNA-m1A58 modification regulates HSC homeostasis.",https://pubmed.ncbi.nlm.nih.gov/38977676/,https://doi.org/10.1038/s41467-024-50110-9,17,2024,8,2234
39892392,PMC11925124,10.1016/j.molcel.2025.01.003,A methyltransferase-independent role for METTL1 in tRNA aminoacylation and oncogenic transformation.,Molecular cell,2025,Mar,Raja H Ali; Esteban A Orellana; Su Hyun Lee; Yun-Cheol Chae; Yantao Chen; Jim Clauwaert; Alyssa L Kennedy; Ashley E Gutierrez,"Amplification of chromosomal material derived from 12q13-15 is common in human cancer and believed to result in overexpression of multiple collaborating oncogenes. To define the oncogenes involved, we overexpressed genes recurrently amplified in human liposarcoma using a zebrafish model of the disease. We found several genes whose overexpression collaborated with AKT in sarcomagenesis, including the tRNA methyltransferase METTL1. This was surprising, because AKT phosphorylates METTL1 to inactivate its enzymatic activity. Indeed, phosphomimetic S27D or catalytically dead alleles phenocopied the oncogenic activity of wild-type METTL1. We found that METTL1 binds the multi-tRNA synthetase complex, which contains many of the cellular aminoacyl-tRNA synthetases and promotes tRNA aminoacylation, polysome formation, and protein synthesis independent of its methyltransferase activity. METTL1-amplified liposarcomas were hypersensitive to actinomycin D, a clinical inhibitor of ribosome biogenesis. We propose that METTL1 overexpression promotes sarcomagenesis by stimulating tRNA aminoacylation, protein synthesis, and tumor cell growth independent of its methyltransferase activity.",https://pubmed.ncbi.nlm.nih.gov/39892392/,https://doi.org/10.1016/j.molcel.2025.01.003,18,2025,5,2230
