index	topic	year	status	pdf_file	source_link	pdf_url	note
1	Mouse early embryo tRNA landscape	2026	not_downloaded		https://www.nature.com/articles/s41467-026-72603-5		Candidate was not a PDF: https://www.nature.com/articles/s41467-026-72603-5.pdf
2	Zebrafish embryo tRNA modification landscape	2024	not_downloaded		https://pmc.ncbi.nlm.nih.gov/articles/PMC11417395/		Candidate was not a PDF: https://pmc.ncbi.nlm.nih.gov/articles/PMC11417395/pdf/
3	METTL1/WDR4 m7G and ESCs	2018	not_downloaded		https://pmc.ncbi.nlm.nih.gov/articles/PMC6086580/		Candidate was not a PDF: https://pmc.ncbi.nlm.nih.gov/articles/PMC6086580/pdf/
4	NSUN2 m5C and neural development	2017	not_downloaded		https://pmc.ncbi.nlm.nih.gov/articles/PMC5233436/		Candidate was not a PDF: https://pmc.ncbi.nlm.nih.gov/articles/PMC5233436/pdf/
5	NSUN2 stress-induced tRNA cleavage	2014	not_downloaded		https://pmc.ncbi.nlm.nih.gov/articles/PMC4195770/		Candidate was not a PDF: https://pmc.ncbi.nlm.nih.gov/articles/PMC4195770/pdf/
6	ELP3 and early mouse development	2016	not_downloaded		https://www.sciencedirect.com/science/article/abs/pii/S0006291X16312426		No open PDF candidate found automatically
7	ALKBH8 and mouse embryo	2024	not_downloaded		https://pmc.ncbi.nlm.nih.gov/articles/PMC11402254/		Candidate was not a PDF: https://pmc.ncbi.nlm.nih.gov/articles/PMC11402254/pdf/
8	ALKBH8 and ROS defense	2015	not_downloaded		https://pmc.ncbi.nlm.nih.gov/articles/PMC4492958/		Candidate was not a PDF: https://pmc.ncbi.nlm.nih.gov/articles/PMC4492958/pdf/
9	Sperm cytoplasmic translation	2025	not_downloaded		https://pubmed.ncbi.nlm.nih.gov/40373039/		No open PDF candidate found automatically
10	Bovine sperm mRNA interactome	2025	downloaded	2025_Bovine_sperm_mRNA_interactome.pdf	https://www.nature.com/articles/s42003-025-08919-7	https://www.nature.com/articles/s42003-025-08919-7.pdf	2772625 bytes
11	Sperm SPACA translation	2025	not_downloaded		https://pmc.ncbi.nlm.nih.gov/articles/PMC12766180/		Candidate was not a PDF: https://pmc.ncbi.nlm.nih.gov/articles/PMC12766180/pdf/
12	Sperm transcription/translation review	2026	not_downloaded		https://www.sciencedirect.com/science/article/pii/S0098299726000191		No open PDF candidate found automatically
13	Sperm small RNAs and embryo development	2018	not_downloaded		https://www.sciencedirect.com/science/article/pii/S1534580718305410		No open PDF candidate found automatically
14	Paternal diet and sperm tsRNA	2016	not_downloaded		https://pubmed.ncbi.nlm.nih.gov/26721680/		No open PDF candidate found automatically
15	Paternal diet and sperm mt-tRNA	2024	downloaded	2024_Paternal_diet_and_sperm_mt-tRNA.pdf	https://www.nature.com/articles/s41586-024-07472-3	https://www.nature.com/articles/s41586-024-07472-3.pdf	12301343 bytes
16	Bull sperm sncRNA diversity	2020	not_downloaded		https://pmc.ncbi.nlm.nih.gov/articles/PMC7106649/		Candidate was not a PDF: https://pmc.ncbi.nlm.nih.gov/articles/PMC7106649/pdf/
17	Bull sperm cryopreservation small RNAs	2020	not_downloaded		https://pmc.ncbi.nlm.nih.gov/articles/PMC7214931/		Candidate was not a PDF: https://pmc.ncbi.nlm.nih.gov/articles/PMC7214931/pdf/
18	Boar sperm cryopreservation RNA modification	2021	downloaded	2021_Boar_sperm_cryopreservation_RNA_modification.pdf	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07904-8	https://bmcgenomics.biomedcentral.com/counter/pdf/10.1186/s12864-021-07904-8.pdf	2349076 bytes
19	Sperm oxidative stress and small RNA inheritance	2022	not_downloaded		https://pmc.ncbi.nlm.nih.gov/articles/PMC9192199/		Candidate was not a PDF: https://pmc.ncbi.nlm.nih.gov/articles/PMC9192199/pdf/
20	Sperm RNA overview	2022	not_downloaded		https://academic.oup.com/humupd/article/28/1/67/6384701		No open PDF candidate found automatically
