Topic	Type	Reference	Year	Link	Why useful
Mouse early embryo tRNA landscape	Primary research	Li Y, Wang X, Huang R, et al. Deciphering tRNA repertoires and translation coordination during mouse early embryogenesis by ORACLE-tRNAseq. Nature Communications. doi:10.1038/s41467-026-72603-5	2026	https://www.nature.com/articles/s41467-026-72603-5	Directly connects tRNA pools, MZT/ZGA, H3K4me3/chromatin remodeling, and translation efficiency in mouse early embryos.
Zebrafish embryo tRNA modification landscape	Primary research	Rappol M, et al. tRNA expression and modification landscapes, and their dynamics during zebrafish embryo development. Nucleic Acids Research. doi:10.1093/nar/gkae595	2024	https://pmc.ncbi.nlm.nih.gov/articles/PMC11417395/	Shows developmental reprogramming of tRNA isodecoders and modification profiles around gastrulation.
METTL1/WDR4 m7G and ESCs	Primary research	Lin S, Liu Q, et al. Mettl1/Wdr4-mediated m7G tRNA methylome is required for normal mRNA translation and embryonic stem cell self-renewal and differentiation.	2018	https://pmc.ncbi.nlm.nih.gov/articles/PMC6086580/	Links tRNA m7G to mESC self-renewal, differentiation, and translation.
NSUN2 m5C and neural development	Primary research	Flores JV, et al. Cytosine-5 RNA methylation regulates neural stem cell differentiation and motility. Cell Reports.	2017	https://pmc.ncbi.nlm.nih.gov/articles/PMC5233436/	Shows NSUN2 loss increases tRNA cleavage and affects neural stem cell differentiation and neurodevelopment.
NSUN2 stress-induced tRNA cleavage	Primary research	Blanco S, et al. Aberrant methylation of tRNAs links cellular stress to neuro-developmental disorders. EMBO Journal.	2014	https://pmc.ncbi.nlm.nih.gov/articles/PMC4195770/	Mechanistic link between tRNA methylation, stress-induced cleavage, and neurodevelopmental disease.
ELP3 and early mouse development	Primary research	Lin FJ, et al. Indispensable role for mouse ELP3 in embryonic stem cell maintenance and early development. BBRC. doi:10.1016/j.bbrc.2016.07.120	2016	https://www.sciencedirect.com/science/article/abs/pii/S0006291X16312426	Connects wobble tRNA modification machinery to ESC maintenance and embryonic lethality.
ALKBH8 and mouse embryo	Primary research	Nakai M, et al. RNA-modifying enzyme Alkbh8 is involved in mouse embryonic development. iScience. PMID:39280612	2024	https://pmc.ncbi.nlm.nih.gov/articles/PMC11402254/	Links mcm5U/ALKBH8 to embryo growth, tRNA balance, proteome changes, and erythroid differentiation.
ALKBH8 and ROS defense	Primary research	Endres L, et al. Alkbh8 regulates selenocysteine-protein expression to protect against reactive oxygen species damage. PLoS ONE.	2015	https://pmc.ncbi.nlm.nih.gov/articles/PMC4492958/	Useful bridge between tRNA wobble modification, selenium proteins, and oxidative stress, relevant to cryodamage.
Sperm cytoplasmic translation	Primary research	Corda POC, et al. De novo protein synthesis occurs through the cytoplasmic translation machinery in mammalian spermatozoa. Journal of Cellular Physiology. doi:10.1002/jcp.70038	2025	https://pubmed.ncbi.nlm.nih.gov/40373039/	Recent human/bovine evidence that capacitated sperm use cytoplasmic translation machinery; directly challenges complete translational silence.
Bovine sperm mRNA interactome	Primary research	Tiwari S, Thakor N, Thundathil J. Systematic mRNA interactome analysis reconceptualizes translational quiescence in bovine sperm. Communications Biology.	2025	https://www.nature.com/articles/s42003-025-08919-7	Finds translation proteins, tRNA synthetase/ligase, and dynamic RBP-mRNA interactions during capacitation.
Sperm SPACA translation	Primary research	Park et al. Spatiotemporal translation of sperm acrosome associated proteins during early capacitation modulates sperm fertilizing ability. Journal of Advanced Research. doi:10.1016/j.jare.2025.03.035	2025	https://pmc.ncbi.nlm.nih.gov/articles/PMC12766180/	Shows newly synthesized SPACA1/SPACA5 during bull sperm capacitation and links translation to fertilizing ability.
Sperm transcription/translation review	Review	Advances in sperm transcription and translation activities: From traditional views to new discoveries. Molecular Aspects of Medicine. doi:10.1016/j.mam.2026.101463	2026	https://www.sciencedirect.com/science/article/pii/S0098299726000191	Useful recent review framing the shift from inert sperm dogma to RNA cargo and context-dependent translation.
Sperm small RNAs and embryo development	Primary research	Sharma U, et al. Small RNAs gained during epididymal transit of sperm are essential for embryonic development in mice. Developmental Cell.	2018	https://www.sciencedirect.com/science/article/pii/S1534580718305410	Shows epididymal remodeling of sperm small RNAs including tRNA fragments and effects on embryo gene expression.
Paternal diet and sperm tsRNA	Primary research	Chen Q, et al. Sperm tsRNAs contribute to intergenerational inheritance of an acquired metabolic disorder. Science.	2016	https://pubmed.ncbi.nlm.nih.gov/26721680/	Classical evidence that sperm tRNA-derived small RNAs can transmit paternal metabolic information.
Paternal diet and sperm mt-tRNA	Primary research	Tomar A, et al. Epigenetic inheritance of diet-induced and sperm-borne mitochondrial RNAs. Nature. doi:10.1038/s41586-024-07472-3	2024	https://www.nature.com/articles/s41586-024-07472-3	Strong recent evidence that sperm-borne mitochondrial RNAs/mt-tRNAs affect early embryo transcription and offspring metabolism.
Bull sperm sncRNA diversity	Primary research	Sellem E, et al. A comprehensive overview of bull sperm-borne small non-coding RNAs and their diversity across breeds.	2020	https://pmc.ncbi.nlm.nih.gov/articles/PMC7106649/	Shows bull sperm contains abundant tRNA-derived fragments and discusses cryopreservation stress as a possible contributor.
Bull sperm cryopreservation small RNAs	Primary research	Chen X, et al. Cryopreservation induces alterations of miRNA and mRNA fragment profiles of bull sperm. Frontiers in Genetics.	2020	https://pmc.ncbi.nlm.nih.gov/articles/PMC7214931/	Direct fresh vs frozen bull sperm small RNA evidence; useful model even though main reported classes are miRNA/mRNA fragments.
Boar sperm cryopreservation RNA modification	Primary research	Qin Z, et al. Transcriptome-wide m6A profiling reveals mRNA post-transcriptional modification of boar sperm during cryopreservation. BMC Genomics.	2021	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07904-8	Shows cryopreservation can alter sperm RNA epitranscriptome; useful precedent for tRNA modification study.
Sperm oxidative stress and small RNA inheritance	Primary research	Chan JC, et al. Small noncoding RNAs contribute to sperm oxidative stress-induced programming of behavioral and metabolic phenotypes in offspring.	2022	https://pmc.ncbi.nlm.nih.gov/articles/PMC9192199/	Connects sperm ROS, small RNA/tRNA cleavage, and offspring phenotypes; mechanistically relevant to cryopreservation.
Sperm RNA overview	Review	All you need to know about sperm RNAs. Human Reproduction Update.	2022	https://academic.oup.com/humupd/article/28/1/67/6384701	Broad review of sperm RNA classes, origin, functional relevance, and technical caveats.
